Column1,Vendor_Name,Order Year,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Status_Rate,Total Spend,Savings,Defective_Rate,Comp_rate,Negot_Rate
Vendor_02,Beta_Supplies,2023,Office Supplies,Cancelled,798,19.09,17.76,100,Yes,9%,14172.48,1061.34,13%,76%,7%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1728,94.83,90.2,100,Yes,72%,155865.6,8000.64,6%,98%,5%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1244,96.13,84.78,43,Yes,72%,105466.32,14119.4,3%,98%,12%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,590,16.89,15.56,46,No,71%,9180.4,784.7,8%,24%,8%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1109,38.93,33.33,152,Yes,70%,36962.97,6210.4,14%,61%,14%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,574,85.03,82.55,54,Yes,71%,47383.7,1423.52,9%,76%,3%
Vendor_05,Gamma_Co,2024,Office Supplies,Delivered,1233,86.62,76.59,65,Yes,72%,94435.47,12366.99,5%,86%,12%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,1912,27.94,25.59,83,No,72%,48928.08,4493.2,4%,14%,8%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1772,30.72,27.76,46,No,76%,49190.72,5245.12,3%,6%,10%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,1316,48.11,41.9,135,Yes,71%,55140.4,8172.36,10%,76%,13%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,1159,59.24,58.08,105,Yes,71%,67314.72,1344.44,9%,76%,2%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,1869,69.58,67.5,31,Yes,76%,126157.5,3887.52,2%,94%,3%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,627,46.23,42.87,155,Yes,70%,26879.49,2106.72,25%,61%,7%
Vendor_02,Beta_Supplies,2023,Raw Materials,Pending,731,56.02,54.78,70,No,12%,40044.18,906.44,10%,24%,2%
Vendor_04,Epsilon_Group,2023,Office Supplies,Cancelled,606,83.07,79.22,16,Yes,8%,48007.32,2333.1,3%,98%,5%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,1647,13.57,12.33,157,Yes,71%,20307.51,2042.28,10%,76%,9%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,1062,34.03,30.46,155,Yes,70%,32348.52,3791.34,15%,61%,10%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,695,76.8,69.76,105,No,71%,48483.2,4892.8,15%,24%,9%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,845,91.47,86.97,33,Yes,72%,73489.65,3802.5,4%,98%,5%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1101,59.13,52.51,54,Yes,72%,57813.51,7288.62,5%,86%,11%
Vendor_05,Gamma_Co,2022,Raw Materials,Delivered,1693,57.89,49.84,88,Yes,72%,84379.12,13628.65,5%,86%,14%
Vendor_03,Delta_Logistics,2023,Office Supplies,Cancelled,1629,21.51,19.41,250,No,9%,31618.89,3420.9,15%,39%,10%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1413,54.79,50.42,155,Yes,70%,71243.46,6174.81,11%,61%,8%
Vendor_04,Epsilon_Group,2022,Packaging,Delivered,1871,59.96,58.54,47,Yes,72%,109528.34,2656.82,3%,98%,2%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1404,34.85,30.5,78,Yes,72%,42822,6107.4,6%,86%,12%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,1713,35.43,34.11,74,Yes,72%,58430.43,2261.16,4%,86%,4%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,1579,43.96,43.41,74,Yes,72%,68544.39,868.45,5%,86%,1%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,1421,11.92,11.72,76,Yes,72%,16654.12,284.2,5%,86%,2%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,1546,43.47,37.37,53,Yes,72%,57774.02,9430.6,3%,98%,14%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,1304,32.08,29.36,155,Yes,70%,38285.44,3546.88,12%,61%,8%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,239,39.87,35.47,32,Yes,70%,8477.33,1051.6,13%,61%,11%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1298,21.51,20.83,24,Yes,76%,27037.34,882.64,2%,94%,3%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,1458,91.05,81.56,220,Yes,70%,118914.48,13836.42,15%,61%,10%
Vendor_05,Gamma_Co,2022,MRO,Delivered,1450,63.74,59.11,71,Yes,72%,85709.5,6713.5,5%,86%,7%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,1356,75.03,63.86,131,Yes,71%,86594.16,15146.52,10%,76%,15%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,682,81.84,71.86,40,Yes,72%,49008.52,6806.36,6%,86%,12%
Vendor_05,Gamma_Co,2023,Packaging,Delivered,677,59.52,55.29,39,Yes,72%,37431.33,2863.71,6%,86%,7%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,1022,18.54,16.55,150,Yes,70%,16914.1,2033.78,15%,61%,11%
Vendor_01,Alpha_Inc,2022,Raw Materials,Delivered,1818,60.96,57.13,41,Yes,76%,103862.34,6962.94,2%,94%,6%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1332,69.73,63.8,41,Yes,72%,84981.6,7898.76,3%,98%,9%
Vendor_02,Beta_Supplies,2023,Raw Materials,Delivered,1432,83.26,77.67,174,Yes,71%,111223.44,8004.88,12%,76%,7%
Vendor_02,Beta_Supplies,2022,Packaging,Pending,759,50.56,46.47,63,No,12%,35270.73,3104.31,8%,24%,8%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1529,23.42,22.44,30,Yes,76%,34310.76,1498.42,2%,94%,4%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,1484,36.25,31.8,61,Yes,72%,47191.2,6603.8,4%,86%,12%
Vendor_04,Epsilon_Group,2023,Packaging,Delivered,698,46.73,45.61,15,Yes,72%,31835.78,781.76,2%,98%,2%
Vendor_04,Epsilon_Group,2023,Packaging,Pending,367,74.61,71.36,13,Yes,11%,26189.12,1192.75,4%,98%,4%
Vendor_04,Epsilon_Group,2023,Office Supplies,Partially Delivered,1750,65.97,58.34,50,Yes,8%,102095,13352.5,3%,98%,12%
Vendor_03,Delta_Logistics,2022,Office Supplies,Partially Delivered,1298,43.73,37.21,155,No,11%,48298.58,8462.96,12%,39%,15%
Vendor_05,Gamma_Co,2023,Packaging,Delivered,1892,106.2,96.37,93,Yes,72%,182332.04,18598.36,5%,86%,9%
Vendor_02,Beta_Supplies,2023,Electronics,Delivered,1307,68.71,60.64,141,Yes,71%,79256.48,10547.49,11%,76%,12%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,733,32.29,29.01,78,Yes,71%,21264.33,2404.24,11%,76%,10%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,713,19.45,18.82,31,Yes,72%,13418.66,449.19,4%,86%,3%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,1900,24.11,23.45,188,Yes,71%,44555,1254,10%,76%,3%
Vendor_03,Delta_Logistics,2023,MRO,Cancelled,1447,35.67,35.07,224,No,9%,50746.29,868.2,15%,39%,2%
Vendor_04,Epsilon_Group,2023,Office Supplies,Delivered,1745,26.17,22.25,55,Yes,72%,38826.25,6840.4,3%,98%,15%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,1681,28.26,26.62,143,Yes,71%,44748.22,2756.84,9%,76%,6%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,1545,38.15,36.96,214,Yes,70%,57103.2,1838.55,14%,61%,3%
Vendor_04,Epsilon_Group,2023,Raw Materials,Delivered,1306,27.27,25.96,39,Yes,72%,33903.76,1710.86,3%,98%,5%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1765,97.51,84.3,65,Yes,72%,148789.5,23315.65,4%,86%,14%
Vendor_05,Gamma_Co,2022,Packaging,Cancelled,1186,17.31,16,64,Yes,4%,18976,1553.66,5%,86%,8%
Vendor_03,Delta_Logistics,2023,Packaging,Delivered,1903,63.5,56.09,254,Yes,70%,106739.27,14101.23,13%,61%,12%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,1570,52.1,47.87,155,No,70%,75155.9,6641.1,10%,39%,8%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,491,108.75,93.35,155,No,70%,45834.85,7561.4,32%,39%,14%
Vendor_02,Beta_Supplies,2022,Electronics,Partially Delivered,613,20.38,20.17,58,Yes,8%,12364.21,128.73,9%,76%,1%
Vendor_05,Gamma_Co,2022,Raw Materials,Partially Delivered,1341,46.27,43.94,63,Yes,13%,58923.54,3124.53,5%,86%,5%
Vendor_02,Beta_Supplies,2023,MRO,Partially Delivered,1583,103.57,89.38,164,Yes,8%,141488.54,22462.77,10%,76%,14%
Vendor_02,Beta_Supplies,2022,Raw Materials,Cancelled,1880,92.73,90.78,173,Yes,9%,170666.4,3666,9%,76%,2%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,1459,84.79,82.72,47,Yes,72%,120688.48,3020.13,3%,98%,2%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,1460,34.54,31.87,208,No,70%,46530.2,3898.2,14%,39%,8%
Vendor_02,Beta_Supplies,2022,Packaging,Partially Delivered,1186,26.14,24.78,112,Yes,8%,29389.08,1612.96,9%,76%,5%
Vendor_04,Epsilon_Group,2022,MRO,Pending,1686,72.28,65.21,53,Yes,11%,109944.06,11920.02,3%,98%,10%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,1698,102.07,100.69,28,Yes,76%,170971.62,2343.24,2%,94%,1%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1001,64.62,55.7,32,Yes,72%,55755.7,8928.92,3%,98%,14%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1154,62.67,54.11,25,Yes,76%,62442.94,9878.24,2%,94%,14%
Vendor_01,Alpha_Inc,2023,Packaging,Cancelled,748,37.66,32.71,24,No,9%,24467.08,3702.6,3%,6%,13%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,162,81.63,78.76,2,Yes,76%,12759.12,464.94,1%,94%,4%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,51,28.04,24.13,0,Yes,76%,1230.63,199.41,0%,94%,14%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,691,42.07,39.1,106,Yes,70%,27018.1,2052.27,15%,61%,7%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,269,50.22,45.75,32,No,71%,12306.75,1202.43,12%,24%,9%
Vendor_02,Beta_Supplies,2022,Electronics,Pending,1639,56.24,55.4,147,Yes,12%,90800.6,1376.76,9%,76%,1%
Vendor_01,Alpha_Inc,2023,Raw Materials,Delivered,904,34.04,30.06,26,Yes,76%,27174.24,3597.92,3%,94%,12%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,1809,22.17,19.65,105,Yes,71%,35546.85,4558.68,6%,76%,11%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1298,65.93,58.95,24,Yes,76%,76517.1,9060.04,2%,94%,11%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,434,36.16,34.79,41,Yes,71%,15098.86,594.58,9%,76%,4%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1476,68.85,65.28,43,Yes,72%,96353.28,5269.32,3%,98%,5%
Vendor_03,Delta_Logistics,2023,Raw Materials,Partially Delivered,1711,26.04,24.81,290,Yes,11%,42449.91,2104.53,17%,61%,5%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,1203,53.3,47.68,49,Yes,72%,57359.04,6760.86,4%,86%,11%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,1126,58.8,52.22,24,Yes,76%,58799.72,7409.08,2%,94%,11%
Vendor_04,Epsilon_Group,2022,Packaging,Delivered,1757,15.18,13.06,63,Yes,72%,22946.42,3724.84,4%,98%,14%
Vendor_04,Epsilon_Group,2022,MRO,Delivered,779,41.3,36.28,20,Yes,72%,28262.12,3910.58,3%,98%,12%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,1745,23.53,22.57,282,No,70%,39384.65,1675.2,16%,39%,4%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1783,16.96,15.8,295,Yes,70%,28171.4,2068.28,17%,61%,7%
Vendor_01,Alpha_Inc,2023,Office Supplies,Partially Delivered,1489,107.02,93.3,24,Yes,7%,138923.7,20429.08,2%,94%,13%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,296,40.38,35.25,24,Yes,76%,10434,1518.48,8%,94%,13%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,885,88.28,80.8,31,Yes,72%,71508,6619.8,4%,98%,8%
Vendor_04,Epsilon_Group,2022,Raw Materials,Pending,1512,33.25,30.15,53,Yes,11%,45586.8,4687.2,4%,98%,9%
Vendor_03,Delta_Logistics,2022,Office Supplies,Delivered,252,73.12,67.64,155,No,70%,17045.28,1380.96,62%,39%,7%
Vendor_01,Alpha_Inc,2023,Electronics,Cancelled,1257,83.13,81.89,30,Yes,9%,102935.73,1558.68,2%,94%,1%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,172,63.61,55.92,4,Yes,76%,9618.24,1322.68,2%,94%,12%
Vendor_04,Epsilon_Group,2023,Packaging,Pending,450,55.85,49.88,9,Yes,11%,22446,2686.5,2%,98%,11%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,816,48.95,43.42,45,Yes,72%,35430.72,4512.48,6%,86%,11%
Vendor_04,Epsilon_Group,2023,Packaging,Delivered,343,44.5,38.57,7,Yes,72%,13229.51,2033.99,2%,98%,13%
Vendor_05,Gamma_Co,2022,MRO,Delivered,329,97.87,85.35,21,No,72%,28080.15,4119.08,6%,14%,13%
Vendor_01,Alpha_Inc,2023,Electronics,Delivered,1910,90.69,85.8,24,Yes,76%,163878,9339.9,1%,94%,5%
Vendor_04,Epsilon_Group,2023,MRO,Delivered,933,107.99,104.29,29,Yes,72%,97302.57,3452.1,3%,98%,3%
Vendor_03,Delta_Logistics,2023,Raw Materials,Delivered,1683,23.09,21.88,253,Yes,70%,36824.04,2036.43,15%,61%,5%
Vendor_02,Beta_Supplies,2023,Packaging,Pending,247,84.11,71.97,105,Yes,12%,17776.59,2998.58,43%,76%,14%
Vendor_01,Alpha_Inc,2023,MRO,Delivered,1031,102.01,98.65,24,Yes,76%,101708.15,3464.16,2%,94%,3%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1980,26.97,24.16,41,Yes,76%,47836.8,5563.8,2%,94%,10%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,1584,16.46,14.2,57,Yes,72%,22492.8,3579.84,4%,98%,14%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,801,80.15,70.91,105,Yes,71%,56798.91,7401.24,13%,76%,12%
Vendor_02,Beta_Supplies,2022,Packaging,Delivered,193,63.86,57.46,105,Yes,71%,11089.78,1235.2,54%,76%,10%
Vendor_02,Beta_Supplies,2022,Raw Materials,Delivered,658,86.62,79.85,72,Yes,71%,52541.3,4454.66,11%,76%,8%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1274,24.72,23.36,37,Yes,72%,29760.64,1732.64,3%,98%,6%
Vendor_04,Epsilon_Group,2023,Packaging,Partially Delivered,1197,88.92,78.82,31,Yes,8%,94347.54,12089.7,3%,98%,11%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,236,28.43,28.11,11,Yes,72%,6633.96,75.52,5%,86%,1%
Vendor_05,Gamma_Co,2022,Raw Materials,Partially Delivered,1399,25.97,22.19,62,Yes,13%,31043.81,5288.22,4%,86%,15%
Vendor_05,Gamma_Co,2022,Electronics,Delivered,513,24.91,22.58,29,Yes,72%,11583.54,1195.29,6%,86%,9%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,1422,83.73,76.47,198,Yes,70%,108740.34,10323.72,14%,61%,9%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,1844,76.51,73.05,24,Yes,76%,134704.2,6380.24,1%,94%,5%
Vendor_05,Gamma_Co,2023,Electronics,Delivered,709,61.64,54.55,41,Yes,72%,38675.95,5026.81,6%,86%,12%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,813,45.68,41.78,155,No,70%,33967.14,3170.7,19%,39%,9%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,1004,96.51,92.9,146,No,70%,93271.6,3624.44,15%,39%,4%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,452,46.45,40.39,9,Yes,72%,18256.28,2739.12,2%,98%,13%
Vendor_02,Beta_Supplies,2022,Raw Materials,Pending,1419,83.91,71.46,137,Yes,12%,101401.74,17666.55,10%,76%,15%
Vendor_02,Beta_Supplies,2023,Packaging,Delivered,1584,53.73,51.92,167,No,71%,82241.28,2867.04,11%,24%,3%
Vendor_05,Gamma_Co,2022,MRO,Pending,196,44.36,43.81,6,Yes,11%,8586.76,107.8,3%,86%,1%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1221,53.19,46.18,29,Yes,76%,56385.78,8559.21,2%,94%,13%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,913,37.5,36.2,24,Yes,76%,33050.6,1186.9,3%,94%,3%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1784,85.01,76.69,37,Yes,76%,136814.96,14842.88,2%,94%,10%
Vendor_03,Delta_Logistics,2022,Raw Materials,Delivered,1893,55.8,52.35,155,Yes,70%,99098.55,6530.85,8%,61%,6%
Vendor_03,Delta_Logistics,2023,Electronics,Pending,538,34.3,32.25,84,No,10%,17350.5,1102.9,16%,39%,6%
Vendor_03,Delta_Logistics,2022,Office Supplies,Pending,978,94.15,87.7,149,No,10%,85770.6,6308.1,15%,39%,7%
Vendor_04,Epsilon_Group,2023,Raw Materials,Cancelled,1713,47.45,42.05,53,Yes,8%,72031.65,9250.2,3%,98%,11%
Vendor_03,Delta_Logistics,2022,Raw Materials,Pending,600,60.1,57.92,95,No,10%,34752,1308,16%,39%,4%
Vendor_01,Alpha_Inc,2023,Electronics,Pending,387,100.28,85.54,5,Yes,8%,33103.98,5704.38,1%,94%,15%
Vendor_01,Alpha_Inc,2022,MRO,Pending,921,68.83,59.13,22,Yes,8%,54458.73,8933.7,2%,94%,14%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,690,22.47,21.94,77,Yes,71%,15138.6,365.7,11%,76%,2%
Vendor_01,Alpha_Inc,2023,Office Supplies,Cancelled,1852,104.04,94.89,36,Yes,9%,175736.28,16945.8,2%,94%,9%
Vendor_03,Delta_Logistics,2022,Electronics,Delivered,522,66.83,58.01,74,Yes,70%,30281.22,4604.04,14%,61%,13%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,200,44.16,43.13,21,Yes,70%,8626,206,11%,61%,2%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,1488,22.76,21.99,55,Yes,72%,32721.12,1145.76,4%,86%,3%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,1371,87.16,78.13,43,Yes,72%,107116.23,12380.13,3%,98%,10%
Vendor_01,Alpha_Inc,2023,Office Supplies,Delivered,1684,73.05,62.53,24,Yes,76%,105300.52,17715.68,1%,94%,14%
Vendor_04,Epsilon_Group,2023,Electronics,Delivered,312,63.52,58.09,33,Yes,72%,18124.08,1694.16,11%,98%,9%
Vendor_01,Alpha_Inc,2023,Packaging,Cancelled,1837,99.04,86.51,39,Yes,9%,158918.87,23017.61,2%,94%,13%
Vendor_02,Beta_Supplies,2023,MRO,Delivered,193,87.86,81.74,21,Yes,71%,15775.82,1181.16,11%,76%,7%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,395,24.83,23.96,31,Yes,71%,9464.2,343.65,8%,76%,4%
Vendor_04,Epsilon_Group,2022,Electronics,Cancelled,673,39.58,35.83,25,Yes,8%,24113.59,2523.75,4%,98%,9%
Vendor_03,Delta_Logistics,2022,Office Supplies,Cancelled,1066,33.33,28.47,162,No,9%,30349.02,5180.76,15%,39%,15%
Vendor_05,Gamma_Co,2023,Packaging,Delivered,1645,85.42,80.78,73,No,72%,132883.1,7632.8,4%,14%,5%
Vendor_01,Alpha_Inc,2022,Electronics,Delivered,930,13.67,11.95,16,Yes,76%,11113.5,1599.6,2%,94%,13%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,51,63.74,56.1,0,Yes,76%,2861.1,389.64,0%,94%,12%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,946,81.77,71.65,55,Yes,72%,67780.9,9573.52,6%,86%,12%
Vendor_04,Epsilon_Group,2023,Raw Materials,Partially Delivered,1377,94.69,84.2,33,Yes,8%,115943.4,14444.73,2%,98%,11%
Vendor_04,Epsilon_Group,2022,Packaging,Cancelled,303,41.6,40.51,11,Yes,8%,12274.53,330.27,4%,98%,3%
Vendor_01,Alpha_Inc,2023,Raw Materials,Delivered,1725,93.14,79.62,24,Yes,76%,137344.5,23322,1%,94%,15%
Vendor_02,Beta_Supplies,2023,Raw Materials,Cancelled,502,22.05,20.65,50,No,9%,10366.3,702.8,10%,24%,6%
Vendor_05,Gamma_Co,2022,Packaging,Delivered,1110,90.49,80.03,61,Yes,72%,88833.3,11610.6,5%,86%,12%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1233,23.08,20.57,24,Yes,76%,25362.81,3094.83,2%,94%,11%
Vendor_02,Beta_Supplies,2022,Office Supplies,Delivered,1064,48.04,43.6,94,Yes,71%,46390.4,4724.16,9%,76%,9%
Vendor_04,Epsilon_Group,2022,Packaging,Partially Delivered,58,82.57,76.55,33,Yes,8%,4439.9,349.16,57%,98%,7%
Vendor_02,Beta_Supplies,2022,MRO,Delivered,1306,23.49,20.17,116,No,71%,26342.02,4335.92,9%,24%,14%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,1172,32.93,29.28,155,No,70%,34316.16,4277.8,13%,39%,11%
Vendor_01,Alpha_Inc,2023,Packaging,Delivered,1732,82.5,71.71,24,Yes,76%,124201.72,18688.28,1%,94%,13%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,865,81.54,71.59,39,Yes,72%,61925.35,8606.75,5%,86%,12%
Vendor_02,Beta_Supplies,2022,Raw Materials,Delivered,257,68.72,66.92,22,Yes,71%,17198.44,462.6,9%,76%,3%
Vendor_04,Epsilon_Group,2022,Packaging,Delivered,1204,73.18,67.59,31,Yes,72%,81378.36,6730.36,3%,98%,8%
Vendor_02,Beta_Supplies,2023,Electronics,Partially Delivered,453,64.14,60.18,51,Yes,8%,27261.54,1793.88,11%,76%,6%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,201,33.81,32.54,3,Yes,72%,6540.54,255.27,1%,98%,4%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,103,44.61,42.88,10,Yes,70%,4416.64,178.19,10%,61%,4%
Vendor_04,Epsilon_Group,2022,Office Supplies,Delivered,1193,27.4,27.09,33,Yes,72%,32318.37,369.83,3%,98%,1%
Vendor_05,Gamma_Co,2022,Office Supplies,Partially Delivered,1746,93.6,89.81,85,Yes,13%,156808.26,6617.34,5%,86%,4%
Vendor_03,Delta_Logistics,2022,Electronics,Delivered,1993,65.94,59.36,155,Yes,70%,118304.48,13113.94,8%,61%,10%
Vendor_02,Beta_Supplies,2022,Raw Materials,Delivered,677,46.54,43.11,105,No,71%,29185.47,2322.11,16%,24%,7%
Vendor_01,Alpha_Inc,2022,Office Supplies,Pending,636,53.64,49.23,18,Yes,8%,31310.28,2804.76,3%,94%,8%
Vendor_04,Epsilon_Group,2023,Packaging,Delivered,1698,100.97,98.73,52,Yes,72%,167643.54,3803.52,3%,98%,2%
Vendor_05,Gamma_Co,2022,Office Supplies,Delivered,1493,24.87,22.89,56,Yes,72%,34174.77,2956.14,4%,86%,8%
Vendor_01,Alpha_Inc,2022,Packaging,Delivered,1495,64.33,58.18,26,Yes,76%,86979.1,9194.25,2%,94%,10%
Vendor_01,Alpha_Inc,2023,Packaging,Cancelled,153,59.42,52,3,Yes,9%,7956,1135.26,2%,94%,12%
Vendor_03,Delta_Logistics,2023,Raw Materials,Cancelled,1925,70.88,63.41,292,Yes,9%,122064.25,14379.75,15%,61%,11%
Vendor_02,Beta_Supplies,2023,Packaging,Delivered,303,12.97,11.42,105,No,71%,3460.26,469.65,35%,24%,12%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,1300,92.92,90.63,24,Yes,76%,117819,2977,2%,94%,2%
Vendor_05,Gamma_Co,2023,Raw Materials,Delivered,1185,103.28,99.05,55,Yes,72%,117374.25,5012.55,5%,86%,4%
Vendor_04,Epsilon_Group,2023,Raw Materials,Delivered,559,67.56,57.98,15,Yes,72%,32410.82,5355.22,3%,98%,14%
Vendor_04,Epsilon_Group,2023,Electronics,Pending,1546,78.88,78,38,Yes,11%,120588,1360.48,2%,98%,1%
Vendor_04,Epsilon_Group,2022,Packaging,Delivered,148,93.02,85.96,4,Yes,72%,12722.08,1044.88,3%,98%,8%
Vendor_03,Delta_Logistics,2023,Office Supplies,Delivered,202,81.75,78.26,37,No,70%,15808.52,704.98,18%,39%,4%
Vendor_05,Gamma_Co,2023,Packaging,Delivered,1934,25.86,25.6,78,Yes,72%,49510.4,502.84,4%,86%,1%
Vendor_01,Alpha_Inc,2022,Office Supplies,Delivered,963,64.96,64.07,20,Yes,76%,61699.41,857.07,2%,94%,1%
Vendor_05,Gamma_Co,2023,MRO,Delivered,1969,71.71,61.96,55,Yes,72%,121999.24,19197.75,3%,86%,14%
Vendor_03,Delta_Logistics,2022,Electronics,Delivered,927,48.89,46.05,138,Yes,70%,42688.35,2632.68,15%,61%,6%
Vendor_03,Delta_Logistics,2022,Raw Materials,Cancelled,387,77.81,69.04,67,Yes,9%,26718.48,3393.99,17%,61%,11%
Vendor_02,Beta_Supplies,2022,Electronics,Delivered,1779,97.86,94.36,176,Yes,71%,167866.44,6226.5,10%,76%,4%
Vendor_05,Gamma_Co,2022,MRO,Pending,871,94.7,92.66,46,Yes,11%,80706.86,1776.84,5%,86%,2%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,1236,51.33,44.03,25,Yes,72%,54421.08,9022.8,2%,98%,14%
Vendor_03,Delta_Logistics,2023,Electronics,Delivered,1793,22.01,21.78,285,Yes,70%,39051.54,412.39,16%,61%,1%
Vendor_03,Delta_Logistics,2022,MRO,Delivered,1006,101.1,89.04,139,Yes,70%,89574.24,12132.36,14%,61%,12%
Vendor_02,Beta_Supplies,2022,Electronics,Cancelled,1754,89.35,86.54,161,No,9%,151791.16,4928.74,9%,24%,3%
Vendor_04,Epsilon_Group,2022,Electronics,Delivered,210,22.17,21.32,10,Yes,72%,4477.2,178.5,5%,98%,4%
Vendor_03,Delta_Logistics,2023,MRO,Delivered,1653,102.16,91.91,217,Yes,70%,151927.23,16943.25,13%,61%,10%
Vendor_01,Alpha_Inc,2022,MRO,Partially Delivered,850,91.38,88.41,24,Yes,7%,75148.5,2524.5,3%,94%,3%
Vendor_04,Epsilon_Group,2022,Raw Materials,Delivered,447,59.81,57.92,13,Yes,72%,25890.24,844.83,3%,98%,3%
Vendor_05,Gamma_Co,2022,Office Supplies,Delivered,1350,65.11,56.95,71,Yes,72%,76882.5,11016,5%,86%,13%
Vendor_02,Beta_Supplies,2023,Office Supplies,Delivered,865,51.19,47.76,83,Yes,71%,41312.4,2966.95,10%,76%,7%
